MRK_2019.pdf,MRK_2018.pdf,MRK_2020.pdf,MRK_2021.pdf
,,,"Also included are follow up discussions with small group work, ongoing meetings with participants’ managers and a plan for extended learning beyond the end of the program."
,,,"Designed around peer- to-peer interactions, the program provides strategies and tips for how, when and with whom to leverage networks in support of one’s professional advancement."
,,,"Diverse Executive Coaching Circles Through the benefits of executive coaching and developing executive leadership strategies, this offering is designed for executive director and associate vice president level underrepresented ethnic group (UEG) colleagues."
,,,"This offering provides valuable insights in the areas of career development, relationship management, strategic thinking and decision making."
,,,The intent is to support leaders as they ascend to new heights in the Company.
,,,"Participants gain valuable insights that give them the know-how and confidence to excel, and the program connects the leaders with executive advocates/sponsors to develop a defined career action plan.FOCUS The FOCUS program lasers in on exploring the development of leadership capabilities with our midlevel Black professionals."
,,,FOCUS hones in on Leadership and Brand Development.
,,,"The program supports building a peer network with whom they can exchange perspectives, challenges and insights."
,,,Participants create a values-based leadership philosophy while exploring Black executive themes related to identity and success.
,,,"Emphasis is placed on giving and receiving feedback, influence and peer coaching strategies that support proficiency in management and leadership competencies."
,,,"Our partners Partnerships have been formed with global diverse thought leaders, along with academic institutions, to support the Leadership Development Portfolio and Affinity offerings."
,,,We work with these external partners to provide the highest quality and impactful learning experiences.
,,,"Examples of our partnerships include: • Duke Corporate Education • Saïd Business School, University of Oxford • Cornell University • Center for Creative Leadership • IESE Business School • McKinsey • Korn Ferry • Hispanic Association on Corporate Responsibility (HACR) • Executive Leadership Council Promotion metrics12019 2020 2021 Men 47% 48% 47% Women 53% 52% 53% 1 Breakdown by gender, of all regular employees promoted during the fiscal year."
,,,“Regular employees” are defined as employees who do not have a predetermined end date to employment.
,,,"Merck ESG Progress Report 2021/2022 146 Overview GRI/SASB: General disclosures Economic Environmental Social Indices GRI 404-3Percentage of employees receiving regular performance reviews In 2021, as in years past, the percentage of performance reviews has held steady for managers and employees."
,,,"As a Company, we continue to utilize our current talent management system, which supports Companywide performance management, development, talent reviews and succession planning."
,,,It helps ensure that our workforce is aligned with our objectives and focused on their ongoing professional development.
,,,"The system allows managers and employees to keep track of business and development priorities, performance ratings, career aspirations, job experiences, skills, language proficiency, certifications and education."
,,,"Throughout the year, managers are encouraged to discuss with each of their employees their strengths and development opportunities to align on ways to grow capabilities and skills."
,,,1 “Executive” is defined as leadership holding the executive vice president title.
,,,2 “Senior manager” is defined as leadership holding vice president and senior vice president titles.
,,,3 “All managers” is defined as managers with direct reports other than executives and senior managers.
,,,4 “All employees” are defined as all active full- and part-time workers only.
,,,"Performance reviews 2017 2018 2019 2020 2021 Executives1100% 100% 100% 100% 100% Senior managers2100% 100% 100% 100% 100% All managers3100% 100% 100% 100% 100% All employees493% 94% 94% 95% 95% Merck ESG Progress Report 2021/2022 147 Overview GRI/SASB: General disclosures Economic Environmental Social Indices Diversity and equal opportunity GRI 405 Management approach Cultivating a diverse, inclusive and healthy workforce improves all aspects of our business and enables us to better address the needs of all stakeholders."
,,,We embed a culture of inclusion and belonging at every level of the organization and strive for inclusiveness in every aspect of work.
,,,"The diversity of our employees mirrors the external world, which enables us to better understand the unique needs of the customers, health care providers and patients we serve, including those with different abilities."
,,,"While our commitment to employee health is long-standing, in the face of COVID-19 and social injustice we placed special emphasis on the mental wellbeing of our employees to help them address the challenges of working in such uncertain times."
,,,"We are incredibly proud of our employees' resilience during this time, which was reinforced by the legacy we have created of fostering a culture that embraces inclusion as a competitive advantage."
,,,We have consistently leveraged technology over the past several years to engage a global workforce.
,,,"This skill and ability to foster inclusion with employees whether they were working on site, remotely, in the field or across global time zones was particularly beneficial as we engaged in hybrid working due to the pandemic."
,,,Global diversity and inclusion (GD&I) objectives Our ability to accomplish our objectives is linked to the GD&I Strategy—our framework for sustainable competitive advantage.
,,,"Through it, we align with our purpose to save and improve lives and our purpose to create an environment of belonging, engagement, equity and empowerment that compels a globally diverse and inclusive workforce which works to improve patient health."
,,,"We focus our efforts on: • Our People: Strengthen the foundational elements of diversity • Our Culture: Ensure accountability to drive an inclusive culture • Our Business: Continue to leverage diversity and inclusion to ensure business value • Our World: Transform the environment, culture and business landscapeWe have an enterprise-wide plan that demonstrates our commitment to diversity and inclusion as a business priority that leads to greater collaboration, innovation and agility."
,,,"Our business objectives for diversity and inclusion are fully aligned to drive long-term, sustainable business performance."
,,,"In addition, our objectives for diversity and equal opportunity support the Sustainable Development Goals (SDGs) of advancing gender equality, providing decent work and economic growth, reducing inequalities within and among countries and strengthening global partnerships."
,,,"Our GD&I strategic framework focuses on the following priorities: • Continue to build the diversity and inclusion capabilities of our global workforce • Ensure accountability at all levels of the organization • Integrate diversity and inclusion into our business practices to drive performance • Work to influence the environment, culture and business landscape to help achieve a more inclusive and sustainable world GD&I ambassador teams Our GD&I Center of Excellence (CoE) oversees diversity and inclusion across all business practices and systems."
,,,The CoE leverages five diversity ambassador teams to ensure integration into our business and people strategies.
,,,"The Global Disability Inclusion Strategic Council This Council recognizes and values the importance of a disability- confident workforce and understands how full inclusion of people with disabilities increases creativity and innovation for its employees, customers, external partners and suppliers."
,,,"The GD&I Extended Human Resources Leadership Team This team of human resources professionals supports the global organization by ensuring the successful adoption and integration of diversity and inclusion capabilities into all practices, programs, procedures and systems."
,,,"A key outcome is to enable a diverse and inclusive culture—one that attracts, engages, develops, motivates and retains top talent globally."
,,,"Merck ESG Progress Report 2021/2022 148 Overview GRI/SASB: General disclosures Economic Environmental Social Indices Employee Business Resource Group (EBRG) Executive Leadership Council With 10 EBRGs representing different constituencies, this Council of global EBRG leaders work together to support approximately 20,000 members worldwide, strengthen and diversify the global leadership pipeline and provide culturally relevant insights that help drive our success."
,,,"GD&I Business Consortium This Consortium, comprised of members from key business functions, enhances our Company’s performance by embedding diversity, equity and inclusion principles and strategies into our business processes and strategies, creating a competitive business advantage and driving shareholder value."
,,,This Consortium develops holistic and inclusive approaches which will break through barriers and obstacles many of our patients and customer experiences in their pursuit of optimal health outcomes.
,,,It brings together a group of internal stakeholders across the major groups in the organization.
,,,"GD&I Line Advisory Council Serving as an advisory role to the vice president, GD&I CoE, this Council provides input and feedback on the GD&I strategy and key initiatives and offers perspectives on areas of progress, as well as opportunity, in relation to integrating GD&I into our business and people strategies."
,,,Governance and commitments GD&I is a strategic business lever for performance and endorsed at the highest levels of the organization.
,,,Diversity and inclusion represent a key dimension of our commitment to our ESG goals.
,,,"In addition, our Board of Directors has a clearly stated Diversity Policy, which recognizes that maintaining a truly diverse membership with regards to educational and professional background, gender, race, age, sexual orientation, ethnic and national background, and other differentiating personal characteristics promotes inclusiveness, enhances the Board’s deliberations and contributes to the Board’s overall effectiveness to better represent the long-term interests of the Company and its shareholders.Our commitment to GD&I is further reinforced by our CEO."
,,,He advocates for diversity and inclusion as a strategic business imperative through the following commitments: • Approving diversity metrics and reviewing progress against aspirational talent goals • Driving accountability through meetings with our leaders and engaging employees in Companywide events to review key strategic initiatives centered on GD&I • Conferring with our vice president of human resources and chief diversity officer on innovation opportunities and business solutions Pay equity We have had a longstanding commitment to diversity and inclusion and fair and equitable pay for all employees.
,,,"This commitment is consistent with our core values of integrity, fairness and treating all people with dignity and respect."
,,,"Having the right culture, systems and practices for talent recruitment and development are critical in driving our ability to compete in global markets where talent is increasingly scarce and increasingly diverse."
,,,"Diversity, equity and inclusion are among our ethical and strategic imperatives."
,,,Pay equity is a critical principle at our Company.
,,,We maintain a Pay Equity Council that is deeply engaged in our pay equity initiatives.
,,,"The Pay Equity Council is jointly led by our vice president of Diversity and Inclusion and senior vice president of Global Compensation, Benefits and HR Operations."
,,,"Among its members are leaders within our Global Diversity & Inclusion (GD&I), Compensation and Benefits, and Employment Legal organizations."
,,,Pay equity is a topic that is rightly receiving a great deal of attention and scrutiny.
,,,"While many other organizations have only recently begun to explore how to pay their employees equitably, providing fair and equitable pay has been one of the pillars of our compensation philosophy."
,,,"Our efforts toward pay equity include: • Regularly monitoring and evaluating our pay practices and policies to ensure that we are paying our employees equitably across all genders, races and ethnicities • Basing compensation for new hires on their skills, work experience and other job-related factorsCONTINUED: GRI 405 Merck ESG Progress Report 2021/2022 149 Overview GRI/SASB: General disclosures Economic Environmental Social Indices • Training our managers on our diversity, equity and inclusion policies to ensure that decisions regarding employees, including those related to compensation, are based on legitimate job-related criteria and not personal characteristics such as gender, race or ethnicity We have also engaged external experts and legal partners to conduct annual pay equity studies in the U.S. and abroad."
,,,"As of 2021, we have conducted such analyses including approximately 75 percent of our global employee population."
,,,These studies allow us to identify whether any adjustments to compensation would be sensible in order to ensure that we continue to pay our employees equitably and fairly.
,,,"By the end of 2022, we expect our pay equity studies will achieve nearly global workforce coverage."
,,,"Our 2021 pay equity study for the U.S. showed that we have achieved greater than 99 percent pay equity for female and male employees, as well as for non-white (including Black, Hispanic and Asian employees) and white employees, in each case, in equivalent positions."
,,,"Where appropriate, based on the determinations of our pay equity studies, we make base salary adjustments to support our progress toward sustained pay equity across gender, race and ethnicity."
,,,We also review and update our compensation policies and practices to minimize the risk of future pay gaps.
,,,"Our continuing focus on pay equity furthers our goal of being the employer of choice for workers of diverse backgrounds, and it supports our efforts to attract and retain the best talent and reward performance consistent with our Leadership Standards."
,,,"These are clear business imperatives for our Company, and we remain firmly committed to them."
,,,"Our external commitments to pay equity and gender equality include the following: Bloomberg Gender-Equality Index We were named to the 2021 Bloomberg Gender-Equality Index (GEI), which recognizes companies committed to transparency in disclosing gender-related metrics and investment in workplace gender equality."
,,,"Paradigm for Parity In 2018, we signed on to support Paradigm for Parity—a call-to-action and model for gender equality."
,,,"The goal of the coalition is to achieve full gender parity by 2030, with a near-term goal of women holding at least 30 percent of senior roles."
,,,"Building upon this commitment, GD&I partnered with Paradigm for Parity in 2021 to launch the Profit and Loss Leadership Accelerator Program for Multicultural Women."
,,,"The program recognizes that operational oversight of a company's profit and loss, commonly referred to as P&L, is a key benchmark for C-suite potential."
,,,"However, just 31 percent of women say they have P&L experience compared to 71 percent of men according to research by Seramount."
,,,"Of this 31 percent of women who have P&L experience, 74 percent are white and just 26 percent are women of color."
,,,The Paradigm for Parity Profit and Loss Leadership Accelerator Program for Multicultural Women addresses this gap by providing women of color with operational financial management skills.
,,,United Nations Women’s Empowerment Principles We continue tracking our progress against the United Nations Women’s Empowerment Principles.
,,,These principles reflect seven areas of focus designed to promote gender equality in business.
,,,Research from the World Economic Forum regularly updates the current rate of progress and estimates it will take over 200 years for women to achieve economic parity.
,,,"According to McKinsey, the full economic participation of women in the workforce will generate $12 trillion to $28 trillion in GDP."
,,,We have committed to gender equality as a strategy to drive business results and advance our purpose.
,,,We continue to establish leadership programs to promote equality and publicly report on our progress to achieve gender equality.
,,,"Leadership development We remain committed to equity across gender, race and ethnicity as a strategy to drive business results and advance our purpose."
,,,We continue to establish leadership programs to promote equality and publicly report on our progress to achieve gender equality.
,,,"Examples of how we achieve this objective, and our broader diversity and inclusion commitment, are as follows: The Merck Women’s Network The Women’s Network is one of 10 Employee Business Resource Groups (EBRGs) at our Company, with 10,000 members in 72 global chapters, including over 1,000 male allies."
,,,"The EBRG is designed to develop and empower women within the organization through business integration and insights, talent acquisition and development and community outreach and social responsibility."
,,,"CONTINUED: GRI 405 Merck ESG Progress Report 2021/2022 150 Overview GRI/SASB: General disclosures Economic Environmental Social Indices In the past year, the Women’s Network has launched the Women’s Network Leadership Academy to promote career development, personal branding, work life balance, empowerment, self-leadership and building influence."
,,,"More than 1,700 EBRG members have participated in the program."
,,,"In addition, “Sister Circles” were launched with women and ally members of other EBRGs—LEAD, the APA and Alianza (the African American/Black, Asia Pacific Association and Hispanic/Latino EBRGs, respectively)—to address the intersectionality of women of color in the workplace."
,,,Women’s Leadership Program (WLP) WLP is a global nomination program focused on enhancing women’s key capabilities to recognize and seize strategic career opportunities by developing critical capabilities and confidence while contributing to core objectives of our Company.
,,,Areas of focus include: strengthening the ability to navigate within the organization while maintaining an authentic leadership style; increasing cultural competence regionally; advanced skills in influencing and storytelling; and advancing the ability to recognize and manage gender differences and subtle “micro-inequities” by leading through courageous action.
,,,"During 2021, program participants achieved a 78 percent retention rate, 37 percent of participants received lateral moves and 27 percent were promoted."
,,,The Emerging Women’s Leadership Program This program is designed for female professionals to begin to develop their capabilities to take on critical leadership roles in the future.
,,,"Diverse Leader Program (DLP) The Diverse Leader Program (DLP) is a highly interactive, thought- provoking leadership program designed to create a safe place where diverse talent feels included and valued, and where they can further develop their leadership skills."
,,,This nomination-based program is open to mid-level managers of color in the U.S. and in 2022 will be expanding to global markets.
,,,Diverse Leader Acceleration Program (U.S. only) This thought-provoking nomination program is an interactive leadership journey designed to create a safe place where participants can hone their leadership skills while exploring what it means to be a person of color in a leadership role within the Company.
,,,"While building leadership proficiency, participants investigate the similarities and differences of leaders from other racial and ethnic groups and deepen relationships with their mentors through hands- on activities and conversations."
,,,"During 2021, program participants achieved an 82 percent retention rate, 34 percent received lateral moves and 36 percent were promoted."
,,,The Re-invent program This program supports women who are re-entering the workforce.
,,,"In partnership with the Society of Women Engineers (SWE), we offer the Re-invent program, where individuals who have taken a pause in their careers can re-enter the workforce with a full-time internship role with the Company."
,,,"This provides individuals with a year-long mentoring program where they can learn new skills, such as digital technology, understand the current business environment and build new relationships."
,,,The work experience enables a manager to assess performance of the individual as well.
,,,"Hiring Our Heroes We are proud to support veterans through several programs, including Hiring Our Heroes."
,,,"Job-seeking service women and men can use a military occupational specialty code to search for opportunities, making it easier for them to match their skills with potential careers at our Company."
,,,"NextGen Network global reverse mentoring program Recognizing that this is the first time in history that there are five generations working together in the workforce, the NextGen Network EBRG launched a global reverse mentoring program known as GEN2GEN in 2018 which has grown exponentially since its launch."
,,,This popular program puts a spin on traditional mentoring relationships by offering co-mentoring partnerships in which our younger generation teaches the more tenured generation.
,,,"GEN2GEN is a proven tool to close knowledge gaps, empower emerging and established leaders, and build multi-generational networks."
,,,"The program offers a structured but flexible curriculum that covers meaningful topics like social media, technology, talent recruiting and soft skills like emotional intelligence.CONTINUED: GRI 405 Merck ESG Progress Report 2021/2022 151 Overview GRI/SASB: General disclosures Economic Environmental Social Indices Building a more inclusive workplace and a culture of belonging Ensuring our employees feel a sense of belonging at our Company is a major priority."
,,,We promote programs for managers that support inclusion and that our leaders use to share their perspectives.
,,,Our Pulse surveys allow us to measure our employees' perceptions on inclusion and other critical workforce issues.
,,,These surveys are just one of the avenues we use to directly engage employees and remain accountable to their needs.
,,,It also allows us to be responsive to employee feedback on workforce issues and integrate their input into decision-making.
,,,"We are proud of the fact that in the most recent survey, which occurred during the pandemic (and, in the case of the U.S., during a period of increased voluntary resignation known as the “Great Resignation”), 80 percent of our employees stated that they felt a sense of belonging at our Company."
,,,"Related to our focus on inclusion is our commitment to a decade- long practice of understanding, measuring and acting to sustain high employee engagement."
,,,"Like many companies, and following the social unrest and injustice witnessed in the U.S. and around the world, the practice of listening deeply to our employees was critical to our own decision-making and influenced leaders across the organization."
,,,Many of our EBRGs were highly engaged in offering listening forums to colleagues to foster authentic and courageous conversations in an emotionally safe environment.
,,,"Going forward, we publicly committed to maintaining or exceeding our current employee engagement index score through 2025 measured through Pulse surveys, which are conducted multiple times a year."
,,,"Employee retention, recognition and manager capability The past year reflects our ability to continually attract and retain highly qualified people, strengthen our competitiveness and mitigate employee turnover."
,,,We have held ourselves accountable for increasing diverse representation and have displayed our representation information each year in our ESG Progress Report.
,,,"Last year, we also shared our aspirational goals for improving diverse representation in senior management, including women and people of Black/African American and Latino/Hispanic descent.We aim to create more opportunities for underrepresented groups by evaluating our hiring processes to determine where we can remove barriers."
,,,"This includes training our managers on strategies to mitigate unconscious bias in the candidate selection, hiring and recognition process."
,,,"In addition to enterprise-wide Unconscious Bias education, which was introduced to the organization in 2014, we have introduced programs to continue to drive our strategic focus and investment in building employee retention, recognition and manager capability."
,,,Gender sensitive recruitment and retention Talent acquisition plays a pivotal role in sourcing and attracting diverse talent and in consulting with hiring managers to eliminate unconscious bias in the selection process.
,,,"Using a gender decoder tool for job postings, biased language is highlighted with suggested alternative wording, helping to create gender neutral and inclusive job descriptions."
,,,"Recognition programs for people of color in science The Merck Research Award for Underrepresented Chemists of Color recognizes graduate students and post-doctoral fellows for their chemical science research across a range of focuses, such as computational, analytical, medicinal, biological and synthetic chemistry."
,,,"David Thaisrivongs, who is a director in chemistry based in Rahway, started this initiative when, after the social unrest in 2020, he noticed that there were not many chemists of color at our Company."
,,,We developed a three-month program that attracted over 130 applicants and awarded 12 recipients.
,,,The applicants must be third-year graduate students at a minimum or postdocs doing research in chemistry at a U.S.-based institution.
,,,Awardees were paired with a Merck mentor and networked with another winner.
,,,INSPIRE Research indicates as much as 20-30 percent of all written communication includes some form of unconscious bias.
,,,"As companies shift to a remote or hybrid work model, that poses significant risk to employee engagement."
,,,"INSPIRE, developed in collaboration with Workhuman® Technology, is one example of how we are building inclusion capabilities among managers by elevating their awareness of how unconscious bias can influence the selection of candidates who receive recognition."
,,,This is a new feature added to our existing CONTINUED: GRI 405 Merck ESG Progress Report 2021/2022 152 Overview GRI/SASB: General disclosures Economic Environmental Social Indices programs to leverage principles of inclusion to recognize and reward performance and promote retention of talent.
,,,We have also worked with external talent suppliers to ensure they are focused on these priorities as well.
,,,"D&I Learning Journey The new D&I Learning Journey, aligned with Global Learning & Development, acknowledges that everyone begins their learning journey at different levels."
,,,"It recognizes that while effective, traditional classroom learning is only as impactful as the ability to leverage the learning in outside settings—in team meetings, in one-on-one conversations, in evaluations and reviews, etc."
,,,The D&I Learning Journey identifies the core capabilities and behaviors required for success.
,,,"The program, available globally at our Company, creates learning opportunities for individuals to pause, reflect and consider alternative responses to D&I-related questions to build inclusion capabilities and competence."
,,,"It reinforces learning for every individual within the organization, embedding diversity and inclusion more deeply into everything we do."
,,,Opportunities for people with disabilities We encourage a culture of transparency and pledge alliance with external organizations that have a shared vision for full disability inclusion in order to foster and support people with disabilities.
,,,The Valuable 500 We announced our membership in The Valuable 500 in January 2020.
,,,"The Valuable 500 is dedicated to unlocking the business, social and economic value of people living with disabilities, ensuring individuals with disabilities are provided ample resources to thrive in the workplace."
,,,"International Labour Organization (ILO) Global Business and Disability Network (GBDN) We are a member of the ILO’s GBDN, a partnership of multinational companies, national employers’ organizations, business networks and advocacy groups working in collaboration to promote the inclusion of persons with disabilities in the workplace.Disability inclusion in our supply chain In 2021, we were recognized as a Top Corporation for Disability- Owned Businesses by Disability:IN."
,,,This recognition is given to a corporation that has demonstrated outstanding inclusion of Disability:IN certified disability-owned businesses (including businesses owned by service-disabled veterans) and demonstrated commitment to disability business inclusion in their supply chain processes and corporate supplier diversity programs.
,,,"Digital accessibility In 2021, we implemented a global digital accessibility policy and initiated a five-year roadmap to ensure equal access to our internal and external digital landscape."
,,,"This was supported by the development of accessibility training, the formalization of an Accessibility Community of Practice, and Companywide change-management communications including global webcasts, townhalls, forums and publications."
,,,We created a cross-organizational leadership team and developed and published the Corporate Accessibility Statement.
,,,"The built environment Universal design in the built environment goes beyond ADA to ensure spaces are created to allow all people to the greatest extent possible the ability to access, understand and use the space."
,,,"Simply put, it means “for everyone.” We have created a standard for universal design and projects all around the globe are following this standard and making a difference for our employees and guests."
,,,"A culture of employee wellbeing To be truly successful, we prioritize the health, wellbeing and safety of our employees."
,,,"We placed a special emphasis on our employees' wellbeing during the pandemic, and our commitment will not wane as we continue to reinforce a collaborative culture and ways of working that will drive long-term success for our business."
,,,"Extensive steps have been taken to ensure that all of our work sites, including manufacturing plants and labs, are as safe as possible."
,,,"We have listened to our colleagues carefully to understand their needs, adapting existing policies and introducing new programs to help our extended family deal with the many challenges of the pandemic.CONTINUED: GRI 405 Merck ESG Progress Report 2021/2022 153 Overview GRI/SASB: General disclosures Economic Environmental Social Indices We promote a culture of mental health and wellness—one that surrounds employees with the environment, programs and services that support making healthy choices."
,,,"One Mind at Work Our CEO signed the One Mind at Work Charter, pledging to make mental health a priority by protecting, supporting and enhancing employee wellbeing in the workplace."
,,,"We collaborate with One Mind at Work to enable broad-scale transformation in how mental health is viewed and approached in the workplace, and how we can gain equity, collaboration and parity between physical and mental health."
,,,"Mind Well We are committed to creating an inclusive culture of wellbeing and a supportive work environment that values the overall health of every employee and their family, which includes their emotional and mental wellbeing."
,,,"Through Mind Well, we are working to reduce mental health stigma through storytelling, resilience building, and providing access to mental health care and resources."
,,,R U OK?
,,,"Day—Mental Health and Wellness e-Learning for managers We recognize that the struggle with stress and emotional wellbeing can be significant, especially during a global pandemic."
,,,"We also recognize the critical role managers can play in being aware and supportive of team members who may be feeling down, going through a tough time or experiencing poor mental health."
,,,"As such, a Mental Health Awareness for Managers e-Learning module was launched as a resource before starting any conversation with an employee about mental or emotional wellbeing."
,,,"The e-Learning program, R U OK?, launched in September 2020, provides facts, talking points and tips managers can use with team members to discuss emotional wellbeing and mental health in a safe, nonjudgmental way."
,,,"Over 4,000 employees have completed the training and approximately 2,000 employees have signed the Stamp out the Stigma pledge."
,,,CALM app We introduced the Calm app at no cost as a resource to our employees in 2021.
,,,The Calm experience provides a nourishing way to use technology that also empowers employees to take good care of themselves so that they can respond to their lives with energy and enthusiasm.
,,,"Calm offers tools to help employees find more calm and mindfulness in their everyday life, with programs that are designed to support feelings of creativity, tranquility, resilience, happiness and success."
,,,"LIVE IT As part of our commitment to becoming a leader in employee health and wellbeing, we brought together our health and wellness offerings under one brand called LIVE IT."
,,,LIVE IT serves as a call to action for employees to take control of their health and live their best lives.
,,,"Our LIVE IT continuum of wellbeing includes four pillars: PREVENT IT (promoting up-to-date vaccination scheduling), BALANCE IT (promoting spending time with friends and family), MOVE IT (promoting taking walks outside) and FUEL IT (promoting cooking new and healthy dishes at home)."
,,,It is a holistic approach to wellbeing designed by and for our employees and their families.
,,,We promote offerings within each of these areas to engage and enhance the lives of our employees.
,,,LIVE IT was launched in the United States in 2011.
,,,"LIVE IT has been adopted by all of our Company’s markets, globally."
,,,Support for working parents and caregivers Using multiple listening methods—from employee focus groups and multiple employee surveys—we created a pathway to hear directly from the workforce on issues and challenges of importance so that we could leverage employee input in the design and development of resources and benefits to best support their needs.
,,,"One example of a program that provides personalized support to employees is Wellthy Concierge, which provides personalized support when managing care for oneself or a loved one for the stress of what can be an otherwise confusing and lengthy process of finding care for their loved ones."
,,,The full cost of this program is covered by the Company.
,,,"To learn more about how we support employee wellbeing, please see GRI 401-2 on page 127."
,,,"Zero-tolerance policy against violence and harassment in the workplace Our policy for Prevention of Harassment, Discrimination and Bullying in the Workplace includes a section on workplace violence in the U.S. version (including Puerto Rico), as well as other applicable regional policies.CONTINUED: GRI 405 Merck ESG Progress Report 2021/2022 154 Overview GRI/SASB: General disclosures Economic Environmental Social Indices Expanding our pipeline of diverse talent In the past year, we greatly expanded outreach to Historically Black Colleges and Universities (HBCUs) by partnering with several organizations, including the College Diversity Network and the National Urban League, to focus on building deep partnerships with colleges, students, faculty and alumni of HBCUs."
,,,"We also focus on systemic barriers that may limit the employee candidate pool, including the geographic location of open positions and job prerequisites of prior pharmaceutical experience."
,,,"To broaden our access to diverse talent, we post some positions with an option to work virtually, offer relocation services and are agnostic to prior pharmaceutical experience."
,,,We leverage key partnerships such as: • Executive Leadership Council (ELC) • INROADS College Links • National Urban League • ALPFA • National Action Council for Minorities in Engineering (NACME) • Ascend • Out & Equal • Disability: IN • Best Buddies • The International Labour Organization (ILO) Global Business and Disability Network (GBDN) • Women of Color in Pharma (WOCIP) Extending our GD&I commitment beyond our employees Our work in equity does not stop at the doors of our Company.
,,,"It continues outside our employee base and into communities all over the world, including communities that have historically been underserved or underfunded."
,,,"We engage with partners to advance the efforts of our global diversity and inclusion commitments and to support underserved communities all over the globe.CEO Action for Diversity & Inclusion Four years ago, we signed a pledge to join the CEO Action for Diversity & Inclusion."
,,,This commitment extends beyond our employees to supporting businesses around the world by making a difference in global economic inclusion.
,,,"We continue to leverage this vital organization for best practice sharing and identification of new opportunities to foster diversity, equity and inclusion."
,,,"Economic inclusion and supplier diversity In 2021, diverse spend represented 12 percent of our total procurement spend, exceeding our corporate goal in spend with minority-owned, women-owned, veteran-owned, LGBT-owned and disability-owned business enterprises."
,,,It is important to provide definitions and context for diverse suppliers.
,,,"Diverse suppliers are businesses that are 51 percent managed, controlled and operated by a person or persons of the following categories: • Minority: Black, Hispanic, Asian and Native American • Women • LGBTQ+ • Veteran, service-disabled veteran • Disability-owned business “Non-Diverse” refers to those suppliers that don’t qualify per the definition above."
,,,"$2.9 billion spending with diverse suppliers globallyCONTINUED: GRI 405 Merck ESG Progress Report 2021/2022 155 Overview GRI/SASB: General disclosures Economic Environmental Social Indices In addition to the amount of dollars we spend, we focus on the investment, impact, growth and development of our suppliers to address social determinants of health (SDOH), leading to health equity and value delivery in the communities where we live and work."
,,,"The correlation between our Company’s diverse supplier spend and SDOH was validated in 2021 through independent research conducted by Proximo Inc., an information technology services firm that specializes in data analytics and business intelligence, data warehousing and integration, and data strategy and governance."
,,,Two unique data sets were integrated to conduct the research: 1.
,,,"Spend data for 2020 was enriched to remove duplicate supplier listings, update incomplete addresses and identify the county for each supplier 2."
,,,"County Health Rankings & Roadmaps data for 2021 is inclusive of publicly available measures of health outcomes, health behaviors, clinical care, social and economic factors, and physical environment."
,,,"This data was compiled to create an overall data- driven view of the “health” of nearly every county in all 50 states, excluding California1 and Puerto Rico.2 The findings of this study are significant, compelling and validate a correlation between our Company’s spend and SDOH variables."
,,,"The following key indicators of impact in the community where diverse suppliers are located were identified: household income, percentages of babies born with low birth weight, child mortality rates, percentages of adults with frequent mental distress, the food environment index and uninsured rates."
,,,"Household income • Increased spending with “minority-owned” suppliers—suppliers that are at least 51 percent managed, controlled and operated by individuals from minority backgrounds—leads to statistically significant increases for all households • Increased spending with minority-owned suppliers generates disproportionately greater economic impact vs. increased spending with non-diverse suppliers among Black households (4.5x greater economic impact) and Latino households (2.8x greater economic impact)Low birth weight • Increased spending with minority-owned suppliers leads to statistically significant reductions in the percentage of Black babies born with low birth weight from 12.9 percent to 12.4 percent in the time this study was executed • As a result of increased spending with minority-owned suppliers, Black and Asian child mortality rates show a statistically significant reduction of 12 infant lives saved per 100,000 births, and eight infant lives saved per 100,000 births, respectively • Increased spending among Black- and Latino-owned suppliers leads to statistically significant reductions in both Black and Latino child mortality rates."
,,,"Increased spending among Asian-owned suppliers leads to statistically significant reductions in Asian and Black child mortality rates Mental distress • Increased spending with minority-owned suppliers leads to statistically significant reductions in the percentage of adults with frequent mental stress from 13.2 percent to 12.7 percent Food environment index • Increased spending with minority-owned suppliers leads to statistically significant improvements in healthy food access from 8.3 percent to 8.7 percent Uninsured rates • Increased spending with minority-owned suppliers leads to statistically significant reductions in the percentage of uninsured rates for children (4.0 percent to 3.8 percent) and for adults (11.9 percent to 9.0 percent) Our ongoing economic inclusion and supplier diversity efforts will enable us to continue our membership in the Billion Dollar Roundtable (BDR), an exclusive industry organization that recognizes and celebrates corporations that achieved spending at least $1 billion with diverse suppliers headquartered in the U.S. and globally."
,,,Our membership in the BDR allows us to share and access best practices in supply chain diversity excellence with other organizations that have also achieved this status.CONTINUED: GRI 405 1 California was removed from the analysis due to severe housing problems which caused them to be an outlier in terms of nearly all SDOH variables.
,,,"2 The 2021 County Health Rankings & Roadmaps data did not include data for Puerto Rico, so those suppliers could not be included in the study."
,,,Merck ESG Progress Report 2021/2022 156 Overview GRI/SASB: General disclosures Economic Environmental Social Indices We are proud to be hosting the next Billion Dollar Roundtable Summit in 2022.
,,,"The Summit will provide another opportunity to chart a course for the bold transformative steps which are urgently needed to ensure we are optimizing positive economic impact to some of our most distressed areas, share best practices and encourage global partners to continue to deliver on our purpose."
,,,"For more information on our supplier diversity program, please see GRI 204 on page 75."
